Confirmed,State,ID,Production,Species
24-Jun-24,Colorado,CO 020,Dairy Milking Cows,Cattle
24-Jun-24,Colorado,CO 021,Dairy Milking Cows,Cattle
24-Jun-24,Iowa,IA 010,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 013,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 014,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 015,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 016,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 018,Dairy Milking Cows,Cattle
21-Jun-24,Iowa,IA 008,Dairy Milking Cows,Cattle
21-Jun-24,Iowa,IA 009,Dairy Milking Cows,Cattle
20-Jun-24,Colorado,CO 019,Dairy Milking Cows,Cattle
20-Jun-24,Idaho,ID 029,Dairy Milking Cows,Cattle
18-Jun-24,Colorado,CO 011,Dairy Milking Cows,Cattle
18-Jun-24,Colorado,CO 012,Dairy Milking Cows,Cattle
18-Jun-24,Iowa,IA 006,Dairy Milking Cows,Cattle
18-Jun-24,Iowa,IA 007,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 005,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 006,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 007,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 025,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 026,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 027,Dairy Milking Cows,Cattle
17-Jun-24,Iowa,IA 004,Dairy Milking Cows,Cattle
17-Jun-24,Iowa,IA 005,Dairy Milking Cows,Cattle
17-Jun-24,Texas,TX 020,Dairy Milking Cows,Cattle
17-Jun-24,Texas,TX 021,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 007,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 008,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 009,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 010,Dairy Milking Cows,Cattle
13-Jun-24,Iowa,IA 003,Dairy Milking Cows,Cattle
